City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,as sulayyil,20.4607,45.5779,23.14,27,2,2.65,SA,1698036342
144,kronstadt,45.6486,25.6061,13.35,91,92,3.58,RO,1698036343
145,shaowu,27.3409,117.4831,25.59,62,27,0.8,CN,1698036343
146,laurel,39.0993,-76.8483,10.96,61,0,5.66,US,1698036098
147,khorinsk,52.1657,109.7726,8.13,30,14,2.78,RU,1698036344
148,banda aceh,5.5577,95.3222,28.52,70,100,2.48,ID,1698036345
149,akureyri,65.6835,-18.0878,0.96,93,75,0.0,IS,1698036345
150,luderitz,-26.6481,15.1594,14.97,86,18,0.44,NA,1698036346
151,dryden,49.7833,-92.7503,8.16,100,100,3.09,CA,1698036347
152,susuman,62.7833,148.1667,-11.4,96,91,0.57,RU,1698036347
153,kaoma,-14.7833,24.8,22.77,50,39,1.37,ZM,1698036348
154,tangalle,6.024,80.7911,25.09,91,100,4.66,LK,1698036348
155,ryotsu-minato,38.0833,138.4333,18.33,62,93,1.5,JP,1698036349
156,georgetown,5.4112,100.3354,30.97,69,20,2.68,MY,1698036170
157,fort bragg,35.139,-79.006,13.23,74,0,1.54,US,1698036350
158,fale old settlement,-9.3852,-171.2468,29.04,70,33,4.25,TK,1698036350
159,grand-bassam,5.2118,-3.7388,25.98,89,100,2.53,CI,1698036351
160,meadow lake,34.8014,-106.5436,20.56,36,1,4.05,US,1698036351
161,alik ghund,30.4896,67.5226,14.96,27,0,4.3,PK,1698036352
162,painesville,41.7245,-81.2457,9.83,76,0,0.0,US,1698036353
163,ylitornio,66.3089,23.6773,-6.84,94,55,1.6,FI,1698036353
164,la manga del mar menor,37.6413,-0.7165,18.88,86,62,2.06,ES,1698036354
165,ilulissat,69.2167,-51.1,-5.99,68,0,4.12,GL,1698036355
166,tazovsky,67.4667,78.7,-2.87,91,100,6.43,RU,1698036355
167,smirnykh,49.75,142.8333,5.48,48,48,5.59,RU,1698036356
168,kilindoni,-7.9139,39.6668,26.84,69,48,3.9,TZ,1698036356
169,vorgashor,67.5833,63.95,-12.33,95,75,1.89,RU,1698036357
170,vilyuchinsk,52.9306,158.4028,8.15,81,78,3.17,RU,1698036357
171,loum,4.7182,9.7351,22.96,99,100,0.43,CM,1698036358
172,argo,37.6333,22.7333,18.21,43,24,1.63,GR,1698036359
173,nagqu,31.5,92.0,4.0,36,54,3.46,CN,1698036359
174,acarau,-2.8856,-40.12,25.77,79,49,7.42,BR,1698036360
175,poronaysk,49.2167,143.1167,6.71,45,66,7.06,RU,1698036360
176,awjilah,29.1081,21.2869,22.16,29,0,2.12,LY,1698036361
177,kizel,59.0471,57.6477,-0.43,90,100,0.89,RU,1698036361
178,ocean pines,38.3954,-75.1557,9.45,77,0,2.06,US,1698036362
179,tura,25.5198,90.2201,26.49,66,100,0.47,IN,1698036362
180,pyt-yakh,60.7499,72.8582,-0.8,74,66,4.6,RU,1698036363
181,broome,42.2506,-75.833,5.95,93,100,4.12,US,1698036364
182,hithadhoo,-0.6,73.0833,27.48,66,81,4.06,MV,1698036365
183,punta arenas,-53.15,-70.9167,3.06,87,20,3.6,CL,1698036130
184,san patricio,28.017,-97.5169,26.91,80,42,5.08,US,1698036366
185,cidreira,-30.1811,-50.2056,18.64,93,95,5.76,BR,1698036366
186,west island,-12.1568,96.8225,27.99,65,75,5.66,CC,1698036367
187,novopodrezkovo,55.9428,37.3467,3.26,93,75,3.13,RU,1698036367
188,adam,22.3756,57.5233,27.52,50,100,1.17,OM,1698036368
189,crane,31.3974,-102.3501,21.84,72,100,8.85,US,1698036368
190,raduzhny,62.0961,77.475,-1.3,79,38,3.88,RU,1698035857
191,kyshtovka,56.555,76.6271,-0.81,81,69,7.12,RU,1698036370
192,squamish,49.7014,-123.1512,12.14,87,17,0.51,CA,1698036370
193,uturoa,-16.7333,-151.4333,26.87,82,51,6.61,PF,1698036371
194,sokol,59.4617,40.1206,-0.18,98,100,1.31,RU,1698036371
195,chinchilla,-26.75,150.6333,35.21,13,0,5.43,AU,1698036372
196,turiacu,-1.6633,-45.3717,24.3,92,41,2.26,BR,1698036372
197,qaqortoq,60.7167,-46.0333,2.33,61,100,2.73,GL,1698036373
198,misratah,32.3754,15.0925,22.93,77,1,5.41,LY,1698036373
199,mejit,10.2753,170.8646,26.63,82,100,6.71,MH,1698036374
